,C1,C2,C3,C4,C5,C6,C7
FR,0.40744770227475796,0.6442163653390963,0.6726568678631121,0.7601234417103337,0.7638768874854638,0.7638901416605515,1.013513513513514
IM,0.001337162892568707,0.12367153850061882,0.5525039683112726,0.7437480171777276,0.9567786456661495,0.9661453276883956,1.0135135135135134
LE,0.0668485406208717,0.30566067123044827,0.5474203866034776,0.7568153465674397,0.914063581035155,0.9196357536186158,1.0135135135135134
LEF,0.3192240200141785,0.4197026639967919,0.5134579348829977,0.6760390324185596,0.6799592887969321,1.0129892803690024,1.013513513513513
LKM,0.032643998295556614,0.588324717149181,0.5989121568061118,0.6038669562062435,0.8996960200761133,0.9936846081923345,1.0135135135135143
MMR,0.25923971760367354,0.2641917208630846,0.5829671324840077,0.6751502127011821,0.7290210059503577,1.0080048970030782,1.0135135135135138
RS,0.36225909120125543,0.42126867812537605,0.5138738919768843,0.7881429799134239,0.8424231775310483,0.8433970627007664,1.013513513513514
