,Comunalitati,Varianta specifica
2008,0.8387678653377102,0.1612321346622898
2009,0.7770810059963611,0.2229189940036389
2010,0.8094158942825653,0.19058410571743467
2011,0.742852233285152,0.25714776671484796
2012,0.7932839513230152,0.2067160486769848
2013,0.748414091265055,0.251585908734945
2014,0.7245388858839794,0.2754611141160206
2015,0.7294961873765564,0.2705038126234436
2016,0.7198261483435735,0.2801738516564265
2017,0.771588835349112,0.22841116465088795
2018,0.8082196384646495,0.1917803615353505
2019,0.789141226595154,0.21085877340484604
2020,0.8012470216186934,0.19875297838130657
2021,0.7848062834289171,0.21519371657108288
